Date,Close/Last,Volume,Open,High,Low,,,Date,High
3/19/2021,58296.2,N/A,57773,58877.5,57863,,,3/19/2021,58877.5
3/18/2021,57859.3,N/A,58724.5,57876.5,56305.1,,,3/18/2021,57876.5
3/17/2021,58727.6,N/A,55489.5,59489.4,58621.9,,,3/17/2021,59489.4
3/16/2021,55835.2,N/A,54277.3,57121,55683.4,,,3/16/2021,57121
3/15/2021,54269.4,N/A,60347.5,56024.1,53342.6,,,3/15/2021,56024.1
3/14/2021,60375.5,N/A,61350.2,60459.9,58859,,,3/14/2021,60459.9
3/13/2021,61218.9,N/A,56865.6,61673.7,60755.8,,,3/13/2021,61673.7
3/12/2021,56485.1,N/A,56702.6,57271.8,56118.8,,,3/12/2021,57271.8
3/11/2021,56710.6,N/A,55812.7,58052.3,56545.9,,,3/11/2021,58052.3
3/10/2021,55667.1,N/A,53694.3,56461,55168.1,,,3/10/2021,56461
3/9/2021,53565.5,N/A,53714.1,55772.3,53187.5,,,3/9/2021,55772.3
3/8/2021,53878.4,N/A,50450.8,54077.9,51941.3,,,3/8/2021,54077.9
3/7/2021,50411.2,N/A,49485.6,51801.1,50141.4,,,3/7/2021,51801.1
3/6/2021,49501.2,N/A,48467.1,49881.4,48890.6,,,3/6/2021,49881.4
3/5/2021,48447.7,N/A,46677.4,49132.7,48166.4,,,3/5/2021,49132.7
3/4/2021,47132,N/A,49029.8,48363.6,46370.1,,,3/4/2021,48363.6
3/3/2021,49278.1,N/A,49126.2,51757.7,49111.5,,,3/3/2021,51757.7
3/2/2021,49207.5,N/A,49161.1,49309.1,48159.2,,,3/2/2021,49309.1
3/1/2021,49053,N/A,46464.4,50191.9,48662.2,,,3/1/2021,50191.9
2/28/2021,46566.6,N/A,44403.5,46809.5,45008.8,,,2/28/2021,46809.5
2/27/2021,44741,N/A,47686.9,46582,44346.9,,,2/27/2021,46582
2/26/2021,47762.9,N/A,47011.8,48018.5,46205.2,,,2/26/2021,48018.5
2/25/2021,47020,N/A,49651.9,47749.1,46051.2,,,2/25/2021,47749.1
2/24/2021,49822.7,N/A,50783,50857.8,49597.9,,,2/24/2021,50857.8
2/23/2021,50884.3,N/A,50636.7,51299.1,47031.7,,,2/23/2021,51299.1
2/22/2021,50379,N/A,55807.3,54115,50161.2,,,2/22/2021,54115
2/21/2021,55531.8,N/A,56715.9,57480.5,55128.5,,,2/21/2021,57480.5
2/20/2021,56537.3,N/A,55829.6,56895.2,55502.7,,,2/20/2021,56895.2
2/19/2021,55941.9,N/A,51162.8,56552.6,55415.1,,,2/19/2021,56552.6
2/18/2021,51137.3,N/A,52170.7,51925.3,50816.8,,,2/18/2021,51925.3
2/17/2021,52070.7,N/A,49360.2,52524,51731.3,,,2/17/2021,52524
2/16/2021,49273.4,N/A,49349.4,50209.6,49018.1,,,2/16/2021,50209.6
2/15/2021,49224.3,N/A,46875.7,49951,47044.4,,,2/15/2021,49951
2/14/2021,46784.5,N/A,47558.1,48936.5,45786.1,,,2/14/2021,48936.5
2/13/2021,47564.1,N/A,47840,47698.3,47051.9,,,2/13/2021,47698.3
2/12/2021,47856.3,N/A,47309.6,48097.3,47271,,,2/12/2021,48097.3
2/11/2021,47123.7,N/A,44648.8,48927.4,46950.9,,,2/11/2021,48927.4
2/10/2021,44618.5,N/A,46022.3,44993.5,44041,,,2/10/2021,44993.5
2/9/2021,46010.7,N/A,46841.3,46865.5,45652.1,,,2/9/2021,46865.5
2/8/2021,46400.5,N/A,38596.3,47405.3,45603.3,,,2/8/2021,47405.3
2/7/2021,38611.7,N/A,38328.5,39123.6,38057,,,2/7/2021,39123.6
2/6/2021,37990.1,N/A,39208.2,39611.9,37987.2,,,2/6/2021,39611.9
2/5/2021,39259.4,N/A,37284.7,39653.1,38275.3,,,2/5/2021,39653.1
2/4/2021,37299.4,N/A,37696.7,37488.4,36640,,,2/4/2021,37488.4
2/3/2021,37634.5,N/A,36618.4,38298.5,37375.9,,,2/3/2021,38298.5
2/2/2021,36609.2,N/A,33904.7,36843.5,35401.5,,,2/2/2021,36843.5
2/1/2021,33869.6,N/A,33554.3,34150.4,33462.4,,,2/1/2021,34150.4
1/31/2021,33580.3,N/A,34031.8,33937.7,32324.9,,,1/31/2021,33937.7
1/30/2021,33930.3,N/A,33512,34348.3,33687.3,,,1/30/2021,34348.3
1/29/2021,33424.5,N/A,33762.7,34920.9,32908.5,,,1/29/2021,34920.9
1/28/2021,33093.1,N/A,31342,34325.8,32839.8,,,1/28/2021,34325.8
1/27/2021,31258.1,N/A,31887.7,31602,29911.9,,,1/27/2021,31602
1/26/2021,31721.7,N/A,32027.9,32545.4,31556.2,,,1/26/2021,32545.4
